year_month,sic_code,dissolution_count
2015-01,47110,76
2015-01,47190,87
2015-01,47210,13
2015-01,47220,11
2015-01,47230,4
2015-01,47240,13
2015-01,47250,22
2015-01,47260,1
2015-01,47290,39
2015-01,47300,5
2015-01,47410,15
2015-01,47430,5
2015-01,47510,16
2015-01,47520,12
2015-01,47530,15
2015-01,47540,12
2015-01,47610,3
2015-01,47620,7
2015-01,47630,1
2015-01,47640,22
2015-01,47650,10
2015-01,47710,71
2015-01,47730,6
2015-01,47750,16
2015-01,47760,11
2015-01,47770,14
2015-01,47781,1
2015-01,47782,2
2015-01,47789,34
2015-01,47791,6
2015-01,47799,12
2015-01,47810,2
2015-01,47820,6
2015-01,47890,22
2015-01,47910,187
2015-01,47990,137
2015-01,47421,3
2015-01,47429,7
2015-01,47591,2
2015-01,47599,49
2015-01,47721,10
2015-01,47722,6
2015-01,47749,11
2015-02,47110,102
2015-02,47190,110
2015-02,47210,13
2015-02,47220,14
2015-02,47230,8
2015-02,47240,18
2015-02,47250,19
2015-02,47260,5
2015-02,47290,28
2015-02,47300,9
2015-02,47410,16
2015-02,47430,9
2015-02,47510,17
2015-02,47520,13
2015-02,47530,20
2015-02,47540,15
2015-02,47610,4
2015-02,47620,12
2015-02,47630,6
2015-02,47640,24
2015-02,47650,9
2015-02,47710,108
2015-02,47730,8
2015-02,47750,13
2015-02,47760,24
2015-02,47770,15
2015-02,47781,6
2015-02,47782,2
2015-02,47789,52
2015-02,47791,8
2015-02,47799,8
2015-02,47810,10
2015-02,47820,13
2015-02,47890,24
2015-02,47910,270
2015-02,47990,175
2015-02,47421,11
2015-02,47429,7
2015-02,47591,3
2015-02,47599,50
2015-02,47721,13
2015-02,47722,5
2015-02,47741,2
2015-02,47749,6
2015-03,47110,94
2015-03,47190,117
2015-03,47210,14
2015-03,47220,15
2015-03,47230,8
2015-03,47240,21
2015-03,47250,26
2015-03,47260,4
2015-03,47290,43
2015-03,47300,8
2015-03,47410,13
2015-03,47430,6
2015-03,47510,16
2015-03,47520,5
2015-03,47530,18
2015-03,47540,12
2015-03,47610,8
2015-03,47620,6
2015-03,47421,13
2015-03,47429,8
2015-03,47591,9
2015-03,47599,46
2015-03,47630,2
2015-03,47640,24
2015-03,47650,11
2015-03,47710,112
2015-03,47721,13
2015-03,47722,3
2015-03,47730,10
2015-03,47749,12
2015-03,47750,13
2015-03,47760,17
2015-03,47770,15
2015-03,47781,6
2015-03,47782,2
2015-03,47789,54
2015-03,47791,5
2015-03,47799,11
2015-03,47810,6
2015-03,47820,15
2015-03,47890,33
2015-03,47910,284
2015-03,47990,212
2015-04,47110,66
2015-04,47190,80
2015-04,47210,10
2015-04,47220,11
2015-04,47230,4
2015-04,47240,12
2015-04,47250,11
2015-04,47260,2
2015-04,47290,21
2015-04,47300,3
2015-04,47410,9
2015-04,47421,7
2015-04,47429,8
2015-04,47430,2
2015-04,47510,11
2015-04,47520,5
2015-04,47530,13
2015-04,47540,11
2015-04,47591,1
2015-04,47599,45
2015-04,47610,4
2015-04,47620,7
2015-04,47640,17
2015-04,47650,7
2015-04,47710,66
2015-04,47721,18
2015-04,47722,5
2015-04,47730,2
2015-04,47741,2
2015-04,47749,3
2015-04,47750,15
2015-04,47760,16
2015-04,47770,10
2015-04,47781,4
2015-04,47782,2
2015-04,47789,35
2015-04,47791,6
2015-04,47799,9
2015-04,47810,1
2015-04,47820,6
2015-04,47890,12
2015-04,47910,136
2015-04,47990,120
2015-05,47110,93
2015-05,47190,114
2015-05,47210,10
2015-05,47220,9
2015-05,47230,2
2015-05,47240,14
2015-05,47250,21
2015-05,47260,4
2015-05,47290,32
2015-05,47300,6
2015-05,47410,12
2015-05,47421,13
2015-05,47429,4
2015-05,47430,6
2015-05,47510,16
2015-05,47520,11
2015-05,47530,24
2015-05,47540,17
2015-05,47591,1
2015-05,47599,41
2015-05,47610,8
2015-05,47620,13
2015-05,47630,1
2015-05,47640,46
2015-05,47650,10
2015-05,47710,105
2015-05,47721,19
2015-05,47722,5
2015-05,47730,14
2015-05,47741,3
2015-05,47749,4
2015-05,47750,11
2015-05,47760,22
2015-05,47770,10
2015-05,47781,4
2015-05,47782,6
2015-05,47789,54
2015-05,47791,5
2015-05,47799,18
