month,holt_bau,arimax_bau,ensemble_bau,ensemble_bau_lo,ensemble_bau_hi,ensemble_int,ensemble_int_lo,ensemble_int_hi,bau_online,int_online
Feb 26,9389,10562,9941,4155,15727,8429,2643,14215,28.93,28.85
Mar 26,9407,11819,10541,2359,18724,8919,736,17101,28.97,28.8
Apr 26,9426,11741,10515,493,20536,8875,0,18897,29.0,28.75
May 26,9444,11179,10260,0,21832,8638,0,20210,29.04,28.7
Jun 26,9463,11443,10394,0,23332,8732,0,21669,29.07,28.65
Jul 26,9482,11923,10630,0,24803,8911,0,23083,29.1,28.6
Aug 26,9500,11723,10545,0,25854,8819,0,24127,29.14,28.55
Sep 26,9519,12677,11004,0,27369,9188,0,25553,29.17,28.5
Oct 26,9537,12834,11088,0,28445,9238,0,26595,29.2,28.45
Nov 26,9556,11558,10498,0,28794,8716,0,27012,29.24,28.4
Dec 26,9575,12332,10872,0,30061,9013,0,28202,29.27,28.35
Jan 27,9593,12026,10737,0,30780,8878,0,28921,29.31,28.3
Feb 27,9612,11324,10417,0,31279,8586,0,29447,29.34,28.25
Mar 27,9630,12768,11106,0,32755,9150,0,30799,29.37,28.2
Apr 27,9649,12642,11057,0,33465,9087,0,31496,29.41,28.15
May 27,9668,12083,10804,0,33947,8852,0,31996,29.44,28.1
Jun 27,9686,12353,10940,0,34796,8947,0,32803,29.48,28.05
Jul 27,9705,12829,11174,0,35722,9125,0,33673,29.51,28.0
Aug 27,9723,12631,11091,0,36311,9033,0,34254,29.54,27.95
Sep 27,9742,13584,11549,0,37424,9402,0,35278,29.58,27.9
Oct 27,9761,13741,11633,0,38147,9453,0,35967,29.61,27.85
Nov 27,9779,12465,11042,0,38181,8930,0,36068,29.64,27.8
Dec 27,9798,13239,11416,0,39165,9228,0,36976,29.68,27.75
Jan 28,9816,12933,11282,0,39627,9093,0,37438,29.71,27.7
Feb 28,9835,12231,10962,0,39891,8800,0,37729,29.75,27.65
Mar 28,9854,13676,11651,0,41154,9365,0,38868,29.78,27.6
Apr 28,9872,13549,11601,0,41666,9303,0,39367,29.81,27.55
May 28,9891,12990,11348,0,41965,9066,0,39682,29.85,27.5
Jun 28,9909,13260,11485,0,42643,9162,0,40320,29.88,27.45
Jul 28,9928,13736,11719,0,43410,9339,0,41030,29.92,27.4
Aug 28,9947,13538,11636,0,43850,9248,0,41463,29.95,27.35
Sep 28,9965,14491,12093,0,44824,9617,0,42347,29.98,27.3
Oct 28,9984,14648,12177,0,45415,9667,0,42905,30.02,27.25
Nov 28,10002,13372,11587,0,45324,9145,0,42882,30.05,27.2
Dec 28,10021,14146,11961,0,46191,9442,0,43672,30.08,27.15
Jan 29,10040,13840,11827,0,46543,9307,0,44023,30.12,27.1
Feb 29,10058,13138,11506,0,46701,9015,0,44209,30.15,27.05
Mar 29,10077,14583,12196,0,47863,9580,0,45247,30.19,27.0
Apr 29,10095,14456,12146,0,48279,9517,0,45650,30.22,26.95
May 29,10114,13897,11893,0,48486,9281,0,45874,30.25,26.9
Jun 29,10133,14167,12030,0,49078,9376,0,46424,30.29,26.85
Jul 29,10151,14643,12264,0,49761,9554,0,47051,30.32,26.8
Aug 29,10170,14445,12180,0,50121,9463,0,47404,30.35,26.75
Sep 29,10188,15398,12638,0,51018,9831,0,48211,30.39,26.7
Oct 29,10207,15555,12722,0,51535,9882,0,48695,30.42,26.65
Nov 29,10226,14279,12132,0,51374,9360,0,48602,30.46,26.6
Dec 29,10244,15053,12506,0,52172,9657,0,49323,30.49,26.55
Jan 30,10263,14747,12372,0,52458,9522,0,49608,30.52,26.5
